restaurant_id,avg_risk,max_risk,last_score,inspections,latest_inspection,premises_name,premise_address_1,grade
ZAFRAN KABAB PALACE|230 E W T HARRIS BV,0.5300927974068428,0.8028395788716534,93.0,6,2024-08-09,ZAFRAN KABAB PALACE,230 E W T HARRIS BV,A
WAFFLE HOUSE #449|3309 QUEEN CITY DR,0.525908800342336,0.8930587871374809,90.5,5,2024-10-23,WAFFLE HOUSE #449,3309 QUEEN CITY DR,A
SIXTY VINES|1415 VANTAGE PARK DR,0.5252329126391093,0.9160599212523217,95.0,5,2024-11-04,SIXTY VINES,1415 VANTAGE PARK DR,A
PARK PLACE RESTAURANT|10517 PARK RD,0.5221330764330239,0.7052497503994499,94.5,6,2024-10-15,PARK PLACE RESTAURANT,10517 PARK RD,A
SKYLAND FAMILY RESTAURANT|4544 SOUTH BV,0.5214251719009265,0.7782533549099069,91.5,5,2024-10-08,SKYLAND FAMILY RESTAURANT,4544 SOUTH BV,A
FAIRFIELD INN & SUITES CHARLOTTE|8540 E INDEPENDENCE BV,0.5192049828531695,0.8941112004608622,93.0,4,2024-08-20,FAIRFIELD INN & SUITES CHARLOTTE,8540 E INDEPENDENCE BV,A
EARLY WAFFLE|11915 N TRYON ST,0.5185832804017059,0.8214769943785059,96.5,6,2024-11-05,EARLY WAFFLE,11915 N TRYON ST,A
7TH STREET NY DELI|401 HAWTHORNE LN,0.5154354486372683,0.6330308575929039,96.0,2,2024-11-21,7TH STREET NY DELI,401 HAWTHORNE LN,A
SUNFLOUR BAKING COMPANY|220 EAST BV,0.5142101997608927,0.8778789255128426,94.0,8,2024-12-10,SUNFLOUR BAKING COMPANY,220 EAST BV,A
ANTOJITOS LATINOS DELI|8300 BELLHAVEN BV,0.513984437644983,0.6961045808005031,94.5,3,2024-10-04,ANTOJITOS LATINOS DELI,8300 BELLHAVEN BV,A
SAVOR RESTAURANT & BAR|2530 SARDIS RD N,0.5134913325195457,0.5134913325195457,94.0,1,2024-10-09,SAVOR RESTAURANT & BAR,2530 SARDIS RD N,A
