acs_year,state_fips,county_fips,tract,block_group,acs_data_year,median_income,total_pop,white,black,asian,total_pop_hispanic_table,hispanic,under_18,over_65,pct_white,pct_black,pct_asian,pct_hispanic
2022,37,119,003111,2,2023,90886.0,679.0,616.0,0.0,0.0,679.0,87.0,,,0.9072164948453608,0.0,0.0,0.12812960235640647
2023,37,119,003111,2,2023,90886.0,679.0,616.0,0.0,0.0,679.0,87.0,,,0.9072164948453608,0.0,0.0,0.12812960235640647
2016,37,119,000104,1,2023,109805.0,1919.0,1322.0,352.0,57.0,1919.0,93.0,,,0.6889004689942678,0.18342886920270973,0.0297029702970297,0.0484627410109432
2017,37,119,000104,1,2023,109805.0,1919.0,1322.0,352.0,57.0,1919.0,93.0,,,0.6889004689942678,0.18342886920270973,0.0297029702970297,0.0484627410109432
2018,37,119,000104,1,2023,109805.0,1919.0,1322.0,352.0,57.0,1919.0,93.0,,,0.6889004689942678,0.18342886920270973,0.0297029702970297,0.0484627410109432
2019,37,119,000104,1,2023,109805.0,1919.0,1322.0,352.0,57.0,1919.0,93.0,,,0.6889004689942678,0.18342886920270973,0.0297029702970297,0.0484627410109432
2020,37,119,000104,1,2023,109805.0,1919.0,1322.0,352.0,57.0,1919.0,93.0,,,0.6889004689942678,0.18342886920270973,0.0297029702970297,0.0484627410109432
2021,37,119,000104,1,2023,109805.0,1919.0,1322.0,352.0,57.0,1919.0,93.0,,,0.6889004689942678,0.18342886920270973,0.0297029702970297,0.0484627410109432
2022,37,119,000104,1,2023,109805.0,1919.0,1322.0,352.0,57.0,1919.0,93.0,,,0.6889004689942678,0.18342886920270973,0.0297029702970297,0.0484627410109432
2023,37,119,000104,1,2023,109805.0,1919.0,1322.0,352.0,57.0,1919.0,93.0,,,0.6889004689942678,0.18342886920270973,0.0297029702970297,0.0484627410109432
2022,37,119,005811,1,2023,85962.0,2005.0,1370.0,227.0,141.0,2005.0,390.0,,,0.683291770573566,0.11321695760598503,0.07032418952618454,0.19451371571072318
2023,37,119,005811,1,2023,85962.0,2005.0,1370.0,227.0,141.0,2005.0,390.0,,,0.683291770573566,0.11321695760598503,0.07032418952618454,0.19451371571072318
2023,37,119,006112,2,2023,59231.0,967.0,298.0,643.0,0.0,967.0,118.0,,,0.3081695966907963,0.6649431230610134,0.0,0.12202688728024819
2018,37,119,003102,3,2023,34789.0,977.0,507.0,266.0,0.0,977.0,601.0,,,0.518935516888434,0.27226202661207777,0.0,0.6151484135107472
2019,37,119,003102,3,2023,34789.0,977.0,507.0,266.0,0.0,977.0,601.0,,,0.518935516888434,0.27226202661207777,0.0,0.6151484135107472
2020,37,119,003102,3,2023,34789.0,977.0,507.0,266.0,0.0,977.0,601.0,,,0.518935516888434,0.27226202661207777,0.0,0.6151484135107472
2021,37,119,003102,3,2023,34789.0,977.0,507.0,266.0,0.0,977.0,601.0,,,0.518935516888434,0.27226202661207777,0.0,0.6151484135107472
2022,37,119,003102,3,2023,34789.0,977.0,507.0,266.0,0.0,977.0,601.0,,,0.518935516888434,0.27226202661207777,0.0,0.6151484135107472
2023,37,119,003102,3,2023,34789.0,977.0,507.0,266.0,0.0,977.0,601.0,,,0.518935516888434,0.27226202661207777,0.0,0.6151484135107472
2023,37,119,000102,2,2023,129868.0,1393.0,853.0,150.0,138.0,1393.0,111.0,,,0.6123474515434314,0.10768126346015794,0.0990667623833453,0.07968413496051686
2015,37,119,004000,4,2023,63333.0,1093.0,149.0,534.0,31.0,1093.0,206.0,,,0.13632204940530648,0.4885635864592864,0.028362305580969808,0.18847209515096067
2016,37,119,004000,4,2023,63333.0,1093.0,149.0,534.0,31.0,1093.0,206.0,,,0.13632204940530648,0.4885635864592864,0.028362305580969808,0.18847209515096067
2017,37,119,004000,4,2023,63333.0,1093.0,149.0,534.0,31.0,1093.0,206.0,,,0.13632204940530648,0.4885635864592864,0.028362305580969808,0.18847209515096067
2018,37,119,004000,4,2023,63333.0,1093.0,149.0,534.0,31.0,1093.0,206.0,,,0.13632204940530648,0.4885635864592864,0.028362305580969808,0.18847209515096067
2019,37,119,004000,4,2023,63333.0,1093.0,149.0,534.0,31.0,1093.0,206.0,,,0.13632204940530648,0.4885635864592864,0.028362305580969808,0.18847209515096067
2020,37,119,004000,4,2023,63333.0,1093.0,149.0,534.0,31.0,1093.0,206.0,,,0.13632204940530648,0.4885635864592864,0.028362305580969808,0.18847209515096067
2021,37,119,004000,4,2023,63333.0,1093.0,149.0,534.0,31.0,1093.0,206.0,,,0.13632204940530648,0.4885635864592864,0.028362305580969808,0.18847209515096067
2022,37,119,004000,4,2023,63333.0,1093.0,149.0,534.0,31.0,1093.0,206.0,,,0.13632204940530648,0.4885635864592864,0.028362305580969808,0.18847209515096067
2023,37,119,004000,4,2023,63333.0,1093.0,149.0,534.0,31.0,1093.0,206.0,,,0.13632204940530648,0.4885635864592864,0.028362305580969808,0.18847209515096067
2021,37,119,005829,2,2023,53056.0,1515.0,350.0,386.0,98.0,1515.0,534.0,,,0.23102310231023102,0.25478547854785477,0.06468646864686468,0.35247524752475246
2022,37,119,005829,2,2023,53056.0,1515.0,350.0,386.0,98.0,1515.0,534.0,,,0.23102310231023102,0.25478547854785477,0.06468646864686468,0.35247524752475246
2023,37,119,005829,2,2023,53056.0,1515.0,350.0,386.0,98.0,1515.0,534.0,,,0.23102310231023102,0.25478547854785477,0.06468646864686468,0.35247524752475246
2023,37,119,000102,1,2023,121944.0,1243.0,803.0,85.0,97.0,1243.0,213.0,,,0.6460176991150443,0.06838294448913917,0.07803700724054706,0.17135961383748993
2021,37,119,002903,3,2023,90882.0,1973.0,1390.0,366.0,121.0,1973.0,87.0,,,0.7045108971109985,0.1855043081601622,0.06132792701469843,0.04409528636594019
2022,37,119,002903,3,2023,90882.0,1973.0,1390.0,366.0,121.0,1973.0,87.0,,,0.7045108971109985,0.1855043081601622,0.06132792701469843,0.04409528636594019
2023,37,119,002903,3,2023,90882.0,1973.0,1390.0,366.0,121.0,1973.0,87.0,,,0.7045108971109985,0.1855043081601622,0.06132792701469843,0.04409528636594019
2015,37,119,005301,1,2023,48313.0,3876.0,540.0,2175.0,42.0,3876.0,1159.0,,,0.1393188854489164,0.5611455108359134,0.010835913312693499,0.29901960784313725
2016,37,119,005301,1,2023,48313.0,3876.0,540.0,2175.0,42.0,3876.0,1159.0,,,0.1393188854489164,0.5611455108359134,0.010835913312693499,0.29901960784313725
2017,37,119,005301,1,2023,48313.0,3876.0,540.0,2175.0,42.0,3876.0,1159.0,,,0.1393188854489164,0.5611455108359134,0.010835913312693499,0.29901960784313725
2018,37,119,005301,1,2023,48313.0,3876.0,540.0,2175.0,42.0,3876.0,1159.0,,,0.1393188854489164,0.5611455108359134,0.010835913312693499,0.29901960784313725
2019,37,119,005301,1,2023,48313.0,3876.0,540.0,2175.0,42.0,3876.0,1159.0,,,0.1393188854489164,0.5611455108359134,0.010835913312693499,0.29901960784313725
2020,37,119,005301,1,2023,48313.0,3876.0,540.0,2175.0,42.0,3876.0,1159.0,,,0.1393188854489164,0.5611455108359134,0.010835913312693499,0.29901960784313725
2021,37,119,005301,1,2023,48313.0,3876.0,540.0,2175.0,42.0,3876.0,1159.0,,,0.1393188854489164,0.5611455108359134,0.010835913312693499,0.29901960784313725
2022,37,119,005301,1,2023,48313.0,3876.0,540.0,2175.0,42.0,3876.0,1159.0,,,0.1393188854489164,0.5611455108359134,0.010835913312693499,0.29901960784313725
2023,37,119,005301,1,2023,48313.0,3876.0,540.0,2175.0,42.0,3876.0,1159.0,,,0.1393188854489164,0.5611455108359134,0.010835913312693499,0.29901960784313725
2021,37,119,001200,2,2023,75281.0,1121.0,575.0,409.0,14.0,1121.0,18.0,,,0.5129348795718108,0.3648528099910794,0.012488849241748439,0.016057091882247992
2022,37,119,001200,2,2023,75281.0,1121.0,575.0,409.0,14.0,1121.0,18.0,,,0.5129348795718108,0.3648528099910794,0.012488849241748439,0.016057091882247992
2023,37,119,001200,2,2023,75281.0,1121.0,575.0,409.0,14.0,1121.0,18.0,,,0.5129348795718108,0.3648528099910794,0.012488849241748439,0.016057091882247992
2018,37,119,000101,2,2023,106067.0,750.0,376.0,52.0,156.0,750.0,231.0,,,0.5013333333333333,0.06933333333333333,0.208,0.308
2019,37,119,000101,2,2023,106067.0,750.0,376.0,52.0,156.0,750.0,231.0,,,0.5013333333333333,0.06933333333333333,0.208,0.308
2020,37,119,000101,2,2023,106067.0,750.0,376.0,52.0,156.0,750.0,231.0,,,0.5013333333333333,0.06933333333333333,0.208,0.308
2021,37,119,000101,2,2023,106067.0,750.0,376.0,52.0,156.0,750.0,231.0,,,0.5013333333333333,0.06933333333333333,0.208,0.308
2022,37,119,000101,2,2023,106067.0,750.0,376.0,52.0,156.0,750.0,231.0,,,0.5013333333333333,0.06933333333333333,0.208,0.308
2023,37,119,000101,2,2023,106067.0,750.0,376.0,52.0,156.0,750.0,231.0,,,0.5013333333333333,0.06933333333333333,0.208,0.308
2022,37,119,005855,3,2023,76429.0,1489.0,888.0,205.0,169.0,1489.0,235.0,,,0.5963734049697784,0.13767629281396912,0.1134989926124916,0.15782404298186703
2023,37,119,005855,3,2023,76429.0,1489.0,888.0,205.0,169.0,1489.0,235.0,,,0.5963734049697784,0.13767629281396912,0.1134989926124916,0.15782404298186703
2021,37,119,002800,3,2023,154167.0,1330.0,1322.0,0.0,6.0,1330.0,8.0,,,0.9939849624060151,0.0,0.004511278195488722,0.006015037593984963
2022,37,119,002800,3,2023,154167.0,1330.0,1322.0,0.0,6.0,1330.0,8.0,,,0.9939849624060151,0.0,0.004511278195488722,0.006015037593984963
2023,37,119,002800,3,2023,154167.0,1330.0,1322.0,0.0,6.0,1330.0,8.0,,,0.9939849624060151,0.0,0.004511278195488722,0.006015037593984963
2019,37,119,000800,1,2023,70938.0,1997.0,911.0,948.0,61.0,1997.0,27.0,,,0.45618427641462195,0.4747120681021532,0.030545818728092138,0.013520280420630946
2020,37,119,000800,1,2023,70938.0,1997.0,911.0,948.0,61.0,1997.0,27.0,,,0.45618427641462195,0.4747120681021532,0.030545818728092138,0.013520280420630946
2021,37,119,000800,1,2023,70938.0,1997.0,911.0,948.0,61.0,1997.0,27.0,,,0.45618427641462195,0.4747120681021532,0.030545818728092138,0.013520280420630946
2022,37,119,000800,1,2023,70938.0,1997.0,911.0,948.0,61.0,1997.0,27.0,,,0.45618427641462195,0.4747120681021532,0.030545818728092138,0.013520280420630946
2023,37,119,000800,1,2023,70938.0,1997.0,911.0,948.0,61.0,1997.0,27.0,,,0.45618427641462195,0.4747120681021532,0.030545818728092138,0.013520280420630946
2023,37,119,001701,2,2023,53229.0,3034.0,771.0,1045.0,72.0,3034.0,1117.0,,,0.25411997363216876,0.34442979564930787,0.023731048121292023,0.3681608437705999
2018,37,119,005859,1,2023,125588.0,2725.0,2064.0,218.0,393.0,2725.0,34.0,,,0.7574311926605505,0.08,0.14422018348623852,0.012477064220183486
2019,37,119,005859,1,2023,125588.0,2725.0,2064.0,218.0,393.0,2725.0,34.0,,,0.7574311926605505,0.08,0.14422018348623852,0.012477064220183486
2020,37,119,005859,1,2023,125588.0,2725.0,2064.0,218.0,393.0,2725.0,34.0,,,0.7574311926605505,0.08,0.14422018348623852,0.012477064220183486
