Premise Address 1,Premise City,Premise State,Premise ZIP,acs_year,matched_address,lon,lat,state_fips,county_fips,tract,block,block_group,geoid_tract,geoid_block_group
8115 PANARA DR,Charlotte,NC,,2023,,,,,,,,,,
8421 DAVIS LAKE PY,Charlotte,NC,,2023,"8421 DAVIS LAKE PKWY, CHARLOTTE, NC, 28269",-80.812083946459,35.334375892507,37,119,005511,1009,1,37119005511,371190055111
135 LEVINE AVENUE OF THE ARTS,Charlotte,NC,,2015,,,,,,,,,,
135 LEVINE AVENUE OF THE ARTS,Charlotte,NC,,2016,,,,,,,,,,
135 LEVINE AVENUE OF THE ARTS,Charlotte,NC,,2017,,,,,,,,,,
9731 CALLABRIDGE CT,Charlotte,NC,,2021,"9731 CALLABRIDGE CT, CHARLOTTE, NC, 28216",-80.944210956029,35.327852121179,37,119,006103,1006,1,37119006103,371190061031
9731 CALLABRIDGE CT,Charlotte,NC,,2022,"9731 CALLABRIDGE CT, CHARLOTTE, NC, 28216",-80.944210956029,35.327852121179,37,119,006103,1006,1,37119006103,371190061031
9731 CALLABRIDGE CT,Charlotte,NC,,2023,"9731 CALLABRIDGE CT, CHARLOTTE, NC, 28216",-80.944210956029,35.327852121179,37,119,006103,1006,1,37119006103,371190061031
4044 CONNECTION POINT BV,Charlotte,NC,,2019,,,,,,,,,,
4044 CONNECTION POINT BV,Charlotte,NC,,2020,,,,,,,,,,
4044 CONNECTION POINT BV,Charlotte,NC,,2021,,,,,,,,,,
8420 UNIVERSITY CITY BV,Charlotte,NC,,2021,"8420 UNIVERSITY CITY BLVD, CHARLOTTE, NC, 28213",-80.741783471436,35.296326450449,37,119,005623,2001,2,37119005623,371190056232
8420 UNIVERSITY CITY BV,Charlotte,NC,,2022,"8420 UNIVERSITY CITY BLVD, CHARLOTTE, NC, 28213",-80.741783471436,35.296326450449,37,119,005623,2001,2,37119005623,371190056232
8420 UNIVERSITY CITY BV,Charlotte,NC,,2023,"8420 UNIVERSITY CITY BLVD, CHARLOTTE, NC, 28213",-80.741783471436,35.296326450449,37,119,005623,2001,2,37119005623,371190056232
6328 BANNER ELK DR,Charlotte,NC,,2022,"6328 BANNER ELK DR, CHARLOTTE, NC, 28216",-80.851330253231,35.306376705697,37,119,005406,2000,2,37119005406,371190054062
6328 BANNER ELK DR,Charlotte,NC,,2023,"6328 BANNER ELK DR, CHARLOTTE, NC, 28216",-80.851330253231,35.306376705697,37,119,005406,2000,2,37119005406,371190054062
545 PROVIDENCE RD,Charlotte,NC,,2015,"545 PROVIDENCE RD, CHARLOTTE, NC, 28207",-80.824799651076,35.202409884245,37,119,002800,3001,3,37119002800,371190028003
545 PROVIDENCE RD,Charlotte,NC,,2016,"545 PROVIDENCE RD, CHARLOTTE, NC, 28207",-80.824799651076,35.202409884245,37,119,002800,3001,3,37119002800,371190028003
545 PROVIDENCE RD,Charlotte,NC,,2017,"545 PROVIDENCE RD, CHARLOTTE, NC, 28207",-80.824799651076,35.202409884245,37,119,002800,3001,3,37119002800,371190028003
545 PROVIDENCE RD,Charlotte,NC,,2018,"545 PROVIDENCE RD, CHARLOTTE, NC, 28207",-80.824799651076,35.202409884245,37,119,002800,3001,3,37119002800,371190028003
545 PROVIDENCE RD,Charlotte,NC,,2019,"545 PROVIDENCE RD, CHARLOTTE, NC, 28207",-80.824799651076,35.202409884245,37,119,002800,3001,3,37119002800,371190028003
545 PROVIDENCE RD,Charlotte,NC,,2020,"545 PROVIDENCE RD, CHARLOTTE, NC, 28207",-80.824799651076,35.202409884245,37,119,002800,3001,3,37119002800,371190028003
545 PROVIDENCE RD,Charlotte,NC,,2021,"545 PROVIDENCE RD, CHARLOTTE, NC, 28207",-80.824799651076,35.202409884245,37,119,002800,3001,3,37119002800,371190028003
545 PROVIDENCE RD,Charlotte,NC,,2022,"545 PROVIDENCE RD, CHARLOTTE, NC, 28207",-80.824799651076,35.202409884245,37,119,002800,3001,3,37119002800,371190028003
545 PROVIDENCE RD,Charlotte,NC,,2023,"545 PROVIDENCE RD, CHARLOTTE, NC, 28207",-80.824799651076,35.202409884245,37,119,002800,3001,3,37119002800,371190028003
