Premise Address 1,Premise City,Premise State,Premise ZIP,acs_year,matched_address,lon,lat,state_fips,county_fips,tract,block,block_group,geoid_tract,geoid_block_group
1331 CENTRAL AV,Charlotte,NC,,2022,"1331 CENTRAL AVE, CHARLOTTE, NC, 28205",-80.816225889898,35.220906542926,37,119,001000,3003,3,37119001000,371190010003
1331 CENTRAL AV,Charlotte,NC,,2023,"1331 CENTRAL AVE, CHARLOTTE, NC, 28205",-80.816225889898,35.220906542926,37,119,001000,3003,3,37119001000,371190010003
530 E TRADE ST,Charlotte,NC,,2015,"530 E TRADE ST, CHARLOTTE, NC, 28202",-80.838747994689,35.22343913514,37,119,000101,2016,2,37119000101,371190001012
530 E TRADE ST,Charlotte,NC,,2016,"530 E TRADE ST, CHARLOTTE, NC, 28202",-80.838747994689,35.22343913514,37,119,000101,2016,2,37119000101,371190001012
530 E TRADE ST,Charlotte,NC,,2017,"530 E TRADE ST, CHARLOTTE, NC, 28202",-80.838747994689,35.22343913514,37,119,000101,2016,2,37119000101,371190001012
530 E TRADE ST,Charlotte,NC,,2018,"530 E TRADE ST, CHARLOTTE, NC, 28202",-80.838747994689,35.22343913514,37,119,000101,2016,2,37119000101,371190001012
530 E TRADE ST,Charlotte,NC,,2019,"530 E TRADE ST, CHARLOTTE, NC, 28202",-80.838747994689,35.22343913514,37,119,000101,2016,2,37119000101,371190001012
530 E TRADE ST,Charlotte,NC,,2020,"530 E TRADE ST, CHARLOTTE, NC, 28202",-80.838747994689,35.22343913514,37,119,000101,2016,2,37119000101,371190001012
530 E TRADE ST,Charlotte,NC,,2021,"530 E TRADE ST, CHARLOTTE, NC, 28202",-80.838747994689,35.22343913514,37,119,000101,2016,2,37119000101,371190001012
530 E TRADE ST,Charlotte,NC,,2022,"530 E TRADE ST, CHARLOTTE, NC, 28202",-80.838747994689,35.22343913514,37,119,000101,2016,2,37119000101,371190001012
530 E TRADE ST,Charlotte,NC,,2023,"530 E TRADE ST, CHARLOTTE, NC, 28202",-80.838747994689,35.22343913514,37,119,000101,2016,2,37119000101,371190001012
5512 CARMEL RD,Charlotte,NC,,2023,"5512 CARMEL RD, CHARLOTTE, NC, 28226",-80.836088065226,35.101970473982,37,119,003008,1003,1,37119003008,371190030081
1860 LINDBERGH ST,Charlotte,NC,,2016,"1860 LINDBERGH ST, CHARLOTTE, NC, 28208",-80.900024827098,35.239962592756,37,119,004000,4001,4,37119004000,371190040004
1860 LINDBERGH ST,Charlotte,NC,,2017,"1860 LINDBERGH ST, CHARLOTTE, NC, 28208",-80.900024827098,35.239962592756,37,119,004000,4001,4,37119004000,371190040004
1860 LINDBERGH ST,Charlotte,NC,,2018,"1860 LINDBERGH ST, CHARLOTTE, NC, 28208",-80.900024827098,35.239962592756,37,119,004000,4001,4,37119004000,371190040004
