premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,business_type_manual
AZUL BALLANTYNE,14825 BALLANTYNE VILLAGE WY,Charlotte,NC,,AZUL BALLANTYNE,,other,
BABE & BUTCHER PARK ROAD,4325 PARK RD,Charlotte,NC,,BABE & BUTCHER PARK ROAD,,other,
BACHI,2700 W MALLARD CREEK CHURCH RD,Charlotte,NC,,BACHI,,other,
BAGEL BOYS,7107 WAVERLY WALK AV,Charlotte,NC,,BAGEL BOYS,,other,
BAKERSFIELD EAST BLVD,1301 EAST BV,Charlotte,NC,,BAKERSFIELD EAST BLVD,,other,
BAKU,4515 SHARON RD,Charlotte,NC,,BAKU,,other,
BALLANTYNE HOTEL AND LODGE,10000 BALLANTYNE COMMONS PY,Charlotte,NC,,BALLANTYNE HOTEL AND LODGE,,other,
BAMBOO GARDEN,231 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,BAMBOO GARDEN,,other,
BANH MI BROTHERS,230 E W T HARRIS BV,Charlotte,NC,,BANH MI BROTHERS,,other,
BAODING,4722 SHARON RD,Charlotte,NC,,BAODING,,other,
BAPS TEMPLE,4100 MARGARET WALLACE RD,Charlotte,NC,,BAPS TEMPLE,,other,
BEACH AND BOROUGH,1125 CHARLOTTETOWNE AV,Charlotte,NC,,BEACH AND BOROUGH,,other,
BEAN,3001 E INDEPENDENCE BV,Charlotte,NC,,BEAN,,other,
BEAN SPROUTS CHARLOTTE,301 N TRYON ST,Charlotte,NC,,BEAN SPROUTS CHARLOTTE,,other,
BEAT THE BOMB,3638 TRYCLAN DR,Charlotte,NC,,BEAT THE BOMB,,other,
BEAUDEVIN,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,BEAUDEVIN,,other,
BEDDER BEDDER & MOORE,3501 S TRYON ST,Charlotte,NC,,BEDDER BEDDER & MOORE,,other,
BEEF & BOTTLE,4538 SOUTH BV,Charlotte,NC,,BEEF & BOTTLE,,other,
"BELLA CIAO, THE",201 S TRYON  ST,Charlotte,NC,,BELLA CIAO,,other,
