premises_name,premise_address_1,premise_city,premise_state,premise_zip,clean_name,chain_name,business_type,business_type_manual
COUNTRY INN AND SUITES CHARLOTTE UNIVERSITY,131 E MCCULLOUGH DR,Charlotte,NC,,COUNTRY INN AND SUITES CHARLOTTE UNIVERSITY,,other,
COURTYARD BY MARRIOTT,8536 OUTLETS BV,Charlotte,NC,,COURTYARD BY MARRIOTT,,other,
COURTYARD BY MARRIOTT BALLANTYNE,15635 DON LOCHMAN LN,Charlotte,NC,,COURTYARD BY MARRIOTT BALLANTYNE,,other,
COURTYARD BY MARRIOTT CHARLOTTE ARROWOOD,800 W ARROWOOD RD,Charlotte,NC,,COURTYARD BY MARRIOTT CHARLOTTE ARROWOOD,,other,
COURTYARD CHARLOTTE WAVERLY,6319 PROVIDENCE FARM LN,Charlotte,NC,,COURTYARD CHARLOTTE WAVERLY,,other,
COURTYARD MARRIOT,2700 LITTLE ROCK RD,Charlotte,NC,,COURTYARD MARRIOT,,other,
COVENANT PRESBYTERIAN CHURCH,1000 E MOREHEAD ST,Charlotte,NC,,COVENANT PRESBYTERIAN CHURCH,,other,
COWBELL,201 N TRYON ST,Charlotte,NC,,COWBELL,,other,
"COWFISH, THE",4310 SHARON RD,Charlotte,NC,,COWFISH,,other,
CRACKIN CRAWFISH,440 E MCCULLOUGH DR,Charlotte,NC,,CRACKIN CRAWFISH,,other,
CRAFT ON 14 TRUIST CENTER,214 N TRYON ST,Charlotte,NC,,CRAFT ON TRUIST CENTER,,other,
CRAFT TASTING ROOM GROWLER SHOP,1320 S CHURCH ST,Charlotte,NC,,CRAFT TASTING ROOM GROWLER SHOP,,other,
CRAFTY BURGR N TAP,17015 KENTON DR,Charlotte,NC,,CRAFTY BURGR N TAP,,other,
CRAFTY BURGR N TAP ANTIQUITY,21726 CATAWBA AV,Charlotte,NC,,CRAFTY BURGR N TAP ANTIQUITY,,other,
CRAZY HORSE SHOWCLUB,5321 E INDEPENDENCE BV,Charlotte,NC,,CRAZY HORSE SHOWCLUB,,other,
"CRAZY PIG, THE",402 S MAIN ST,Charlotte,NC,,CRAZY PIG,,other,
CREATIVE CATERING,1401 ALLEN ST,Charlotte,NC,,CREATIVE CATERING,,other,
CRISPY BANH MI,2130 AYRSLEY TOWN BV,Charlotte,NC,,CRISPY BANH MI,,other,
CRISPY BANH MI,2934 SHAMROCK DR,Charlotte,NC,,CRISPY BANH MI,,other,
CRISPY BANH MI,5100 SOUTH BV,Charlotte,NC,,CRISPY BANH MI,,other,
CRISPY BANH MI #4,14825 BALLANTYNE VILLAGE WY,Charlotte,NC,,CRISPY BANH MI,,other,
CRU,3428 N TRYON ST,Charlotte,NC,,CRU,,other,
"CRUNKLETON, THE",1957 E 7TH ST,Charlotte,NC,,CRUNKLETON,,other,
CULINARY DROPOUT,1120 S TRYON ST,Charlotte,NC,,CULINARY DROPOUT,,other,
"CULTURE SHOP, THE",1425 KENNON ST,Charlotte,NC,,CULTURE SHOP,,other,
CULVERS OF CHARLOTTE,7031 UNIVERSITY CITY BV,Charlotte,NC,,CULVERS OF CHARLOTTE,,other,
CURRY GATE,630 W 24TH ST,Charlotte,NC,,CURRY GATE,,other,
CURRY GATE 2,5516 SOUTH BV,Charlotte,NC,,CURRY GATE,,other,
CURRY JUNCTION,8200 PROVIDENCE RD,Charlotte,NC,,CURRY JUNCTION,,other,
"CUSTOMSHOP, THE",1601 ELIZABETH AV,Charlotte,NC,,CUSTOMSHOP,,other,
CUZCATLAN,4800 CENTRAL AV,Charlotte,NC,,CUZCATLAN,,other,
CUZZOS CUISINE II,9601 N TRYON ST,Charlotte,NC,,CUZZOS CUISINE II,,other,
D.D. PECKERS WING SHACK,10403 PARK RD,Charlotte,NC,,D D PECKERS WING SHACK,,other,
DAHLIAS,123 E 5TH ST,Charlotte,NC,,DAHLIAS,,other,
"DAILY, THE",214 N CHURCH ST,Charlotte,NC,,DAILY,,other,
DAIRY QUEEN,108 S SHARON AMITY RD,Charlotte,NC,,DAIRY QUEEN,,other,
DAIRY QUEEN #11603,1819 MATTHEWS TOWNSHIP PY,Charlotte,NC,,DAIRY QUEEN,,other,
DAIRY QUEEN #12404,3020 PROSPERITY CHURCH RD,Charlotte,NC,,DAIRY QUEEN,,other,
DAIRY QUEEN EASTWAY #17165,3054 EASTWAY DR,Charlotte,NC,,DAIRY QUEEN EASTWAY,,other,
DAVE AND BUSTERS,11049 CAROLINA PLACE PY,Charlotte,NC,,DAVE AND BUSTERS,,other,
DAVIDSON SODA SHOP,104 S MAIN ST,Charlotte,NC,,DAVIDSON SODA SHOP,,other,
DAVIDSON VILLAGE INN,117 DEPOT ST,Charlotte,NC,,DAVIDSON VILLAGE INN,,other,
DEFY CHARLOTTE,8116 UNIVERSITY CITY BV,Charlotte,NC,,DEFY CHARLOTTE,,other,
"DEGENERATE, THE",2116 N DAVIDSON ST,Charlotte,NC,,DEGENERATE,,other,
DELTA SKY CLUB- CONCOURSE A,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,DELTA SKY CLUB- CONCOURSE A,,other,
DELUXE THE FUN ART OF DINING,305 W 4TH ST,Charlotte,NC,,DELUXE THE FUN ART OF DINING,,other,
DENNYS #7646,4541 SUNSET RD,Charlotte,NC,,DENNYS,,other,
DEVON & BLAKELY,101 S TRYON ST,Charlotte,NC,,DEVON & BLAKELY,,other,
DILWORTH TASTING ROOM,300 E TREMONT AV,Charlotte,NC,,DILWORTH TASTING ROOM,,other,
DILWORTH TASTING ROOM SOUTHPARK,4905 ASHLEY PARK LN,Charlotte,NC,,DILWORTH TASTING ROOM SOUTHPARK,,other,
DINOS,350 E SUGAR CREEK RD,Charlotte,NC,,DINOS,,other,
DISH,1220 THOMAS AV,Charlotte,NC,,DISH,,other,
DISTRICT 57,1526 ALLEGHANY ST,Charlotte,NC,,DISTRICT,,other,
DIVE N,109 N POLK ST,Charlotte,NC,,DIVE N,,other,
DOGWOOD,601 S COLLEGE ST,Charlotte,NC,,DOGWOOD,,other,
DOLCE OSTERIA,1710 KENILWORTH AV,Charlotte,NC,,DOLCE OSTERIA,,other,
DON'S,321 N CALDWELL ST,Charlotte,NC,,DON S,,other,
DORCHESTER,12930 DORMAN RD,Charlotte,NC,,DORCHESTER,,other,
DOS CAMINOS,601 S TRYON ST,Charlotte,NC,,DOS CAMINOS,,other,
DOT DOT DOT,4237 PARK RD,Charlotte,NC,,DOT DOT DOT,,other,
DOUBLETREE SUITES BY HILTON CHARLOTTE SOUTHPARK,6300 CARNEGIE BV,Charlotte,NC,,DOUBLETREE SUITES BY HILTON CHARLOTTE SOUTHPARK,,other,
DR. CHARLES L. SIFFORD GOLF COURSE,1225 REMOUNT RD,Charlotte,NC,,DR CHARLES L SIFFORD GOLF COURSE,,other,
DRAGON BUFFET,8170 S TRYON ST,Charlotte,NC,,DRAGON BUFFET,,other,
DRURY INN & SUITES,415 W W T HARRIS BV,Charlotte,NC,,DRURY INN & SUITES,,other,
DRURY INN & SUITES CHARLOTTE ARROWOOD,8925 RED OAK BV,Charlotte,NC,,DRURY INN & SUITES CHARLOTTE ARROWOOD,,other,
DRURY INN AND SUITES,6920 NORTHLAKE MALL DR,Charlotte,NC,,DRURY INN AND SUITES,,other,
DTR PLAZA MIDWOOD,1413 CENTRAL AV,Charlotte,NC,,DTR PLAZA MIDWOOD,,other,
DUCK DONUTS,1710 KENILWORTH AV,Charlotte,NC,,DUCK DONUTS,,other,
DUKE MANSION,400 HERMITAGE RD,Charlotte,NC,,DUKE MANSION,,other,
"EAGLE, THE",2120 SOUTH BV,Charlotte,NC,,EAGLE,,other,
EARLY WAFFLE,11915 N TRYON ST,Charlotte,NC,,EARLY WAFFLE,,other,
EASY LIKE SUNDAY,1600 E WOODLAWN RD,Charlotte,NC,,EASY LIKE SUNDAY,,other,
EDEN OF PLAZA,1212 PECAN AV,Charlotte,NC,,EDEN OF PLAZA,,other,
EEZ FUSION,16925 BIRKDALE COMMONS PY,Charlotte,NC,,EEZ FUSION,,other,
EGGSPECTATION,14815 BALLANTYNE VILLAGE WY,Charlotte,NC,,EGGSPECTATION,,other,
EINSTEIN BAGELS #4030,1501 SOUTH BV,Charlotte,NC,,EINSTEIN BAGELS,,other,
EINSTEIN BROS. BAGELS #27462,1900 SELWYN AV,Charlotte,NC,,EINSTEIN BROS BAGELS,,other,
EINSTEIN BROS. BAGELS #4042,13736 CONLAN CR,Charlotte,NC,,EINSTEIN BROS BAGELS,,other,
EINSTEIN BROS. BAGELS #6137 - CONCOURSE E,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,EINSTEIN BROS BAGELS - CONCOURSE E,,other,
EL BUEN GUSTO,410 WESTINGHOUSE BV,Charlotte,NC,,EL BUEN GUSTO,,other,
EL CARBONERO,4400 CENTRAL AV,Charlotte,NC,,EL CARBONERO,,other,
EL CILANTRO,4709 MARGARET WALLACE RD,Charlotte,NC,,EL CILANTRO,,other,
EL MALO HERMANITA,1705 CENTRAL AV,Charlotte,NC,,EL MALO HERMANITA,,other,
EL PAISANO,5846 ALBEMARLE RD,Charlotte,NC,,EL PAISANO,,other,
EL PULGARCITO,4816 CENTRAL AV,Charlotte,NC,,EL PULGARCITO,,other,
EL TACO VELOZ,6701 N TRYON ST,Charlotte,NC,,EL TACO VELOZ,,other,
ELEMENT CHARLOTTE UPTOWN,650 S CALDWELL ST,Charlotte,NC,,ELEMENT CHARLOTTE UPTOWN,,other,
ELY TORTILLERIA,6301 N TRYON ST,Charlotte,NC,,ELY TORTILLERIA,,other,
EMBASSY SUITES CHARLOTTE UPTOWN,401 E MARTIN LUTHER KING JR BV,Charlotte,NC,,EMBASSY SUITES CHARLOTTE UPTOWN,,other,
EMMY SQUARED SOUTH END,1932 HAWKINS ST,Charlotte,NC,,EMMY SQUARED SOUTH END,,other,
ESTAMPA GAUCHA,401 E MARTIN LUTHER KING JR BV,Charlotte,NC,,ESTAMPA GAUCHA,,other,
EUREST DINING,100 N TRYON ST,Charlotte,NC,,EUREST DINING,,other,
EUREST DINING,11625 NORTH COMMUNITY HOUSE RD,Charlotte,NC,,EUREST DINING,,other,
EUREST DINING,150 N COLLEGE ST,Charlotte,NC,,EUREST DINING,,other,
EUREST DINING AT ELECTROLUX,10200 DAVID TAYLOR DR,Charlotte,NC,,EUREST DINING AT ELECTROLUX,,other,
EVASION,4501 E INDEPENDENCE BV,Charlotte,NC,,EVASION,,other,
EVER ANDALO/GROWLERS POURHOUSE,3116 N DAVIDSON ST,Charlotte,NC,,EVER ANDALO/GROWLERS POURHOUSE,,other,
"EXCHANGE AT 36TH, THE",451 E 36TH ST,Charlotte,NC,,EXCHANGE AT 36TH,,other,
"EXCHANGE, THE",1515 S TRYON ST,Charlotte,NC,,EXCHANGE,,other,
FAHRENHEIT,222 S CALDWELL ST,Charlotte,NC,,FAHRENHEIT,,other,
FAIRFIELD INN & SUITES,7920 ARROWRIDGE BV,Charlotte,NC,,FAIRFIELD INN & SUITES,,other,
FAIRFIELD INN & SUITES CHARLOTTE,8540 E INDEPENDENCE BV,Charlotte,NC,,FAIRFIELD INN & SUITES CHARLOTTE,,other,
FAIRFIELD INN & SUITES UNIVERSITY,535 COLLINS-AIKMAN DR,Charlotte,NC,,FAIRFIELD INN & SUITES UNIVERSITY,,other,
FAIRFIELD INN AND SUITES,12228 PARK RD,Charlotte,NC,,FAIRFIELD INN AND SUITES,,other,
FAMILY DOUGH BAGELS,7102 BRIGHTON PARK DR,Charlotte,NC,,FAMILY DOUGH BAGELS,,other,
FAMOUS TOASTERY,12715 CONNER DR,Charlotte,NC,,FAMOUS TOASTERY,,other,
FAMOUS TOASTERY,2127 AYRSLEY TOWN BV,Charlotte,NC,,FAMOUS TOASTERY,,other,
FAMOUS TOASTERY,8933 J M KEYNES DR,Charlotte,NC,,FAMOUS TOASTERY,,other,
FAMOUS TOASTERY DAVIDSON,101 N MAIN ST,Charlotte,NC,,FAMOUS TOASTERY DAVIDSON,,other,
FAMOUS TOASTERY/BALLANTYNE,8430 REA RD,Charlotte,NC,,FAMOUS TOASTERY/BALLANTYNE,,other,
FAST LANE EATERY,13429 STATESVILLE RD,Charlotte,NC,,FAST LANE EATERY,,other,
FIN & FINO,135 LEVINE AVENUE OF THE ARTS,Charlotte,NC,,FIN & FINO,,other,
FIN AND FINO,8630 LINDHOLM DR,Charlotte,NC,,FIN AND FINO,,other,
FINZ AND FEATHERZ,700 ATANDO AV,Charlotte,NC,,FINZ AND FEATHERZ,,other,
FIREBIRDS,3920 SHARON RD,Charlotte,NC,,FIREBIRDS,,other,
FIREBIRDS/STONECREST,7716 REA RD,Charlotte,NC,,FIREBIRDS/STONECREST,,other,
FLIGHT,1949 E 7TH ST,Charlotte,NC,,FLIGHT,,other,
FLIP-A-LOS,7629 PINEVILLE-MATTHEWS RD,Charlotte,NC,,FLIP-A-LOS,,other,
FLOWER CHILD,1537 CAMDEN RD,Charlotte,NC,,FLOWER CHILD,,other,
FLOWER CHILD BALLANTYNE,15210 BOWL ST,Charlotte,NC,,FLOWER CHILD BALLANTYNE,,other,
FLY KID FLY,15119 BOWL ST,Charlotte,NC,,FLY KID FLY,,other,
FLYIN LION MINISTRIES,8600 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,FLYIN LION MINISTRIES,,other,
FLYING BISCUIT,7930 REA RD,Charlotte,NC,,FLYING BISCUIT,,other,
FLYING SAUCER,9605 N TRYON ST,Charlotte,NC,,FLYING SAUCER,,other,
FOLIA,1440 S TRYON ST,Charlotte,NC,,FOLIA,,other,
FONDA LA TAQUIZA,5135 ALBEMARLE RD,Charlotte,NC,,FONDA LA TAQUIZA,,other,
FOOD FOR THOUGHT,5700 WESTPARK DR,Charlotte,NC,,FOOD FOR THOUGHT,,other,
FORCHETTA/FINANCIAL GRIND,230 N COLLEGE ST,Charlotte,NC,,FORCHETTA/FINANCIAL GRIND,,other,
FORTUNE COOKIE,1518 E 3RD ST,Charlotte,NC,,FORTUNE COOKIE,,other,
FORTUNE COOKIE 8,4005 SUNSET RD,Charlotte,NC,,FORTUNE COOKIE,,other,
FORTUNE COOKIE III,7211 E INDEPENDENCE BV,Charlotte,NC,,FORTUNE COOKIE III,,other,
FORTUNE COOKIE V,7320 THE PLAZA,Charlotte,NC,,FORTUNE COOKIE V,,other,
FOUR POINTS BY SHERATON CHARLOTTE-PINEVILLE,9705 LEITNER DR,Charlotte,NC,,FOUR POINTS BY SHERATON CHARLOTTE-PINEVILLE,,other,
FOXCROFT WINE CO,1235 EAST BV,Charlotte,NC,,FOXCROFT WINE,,other,
FOXCROFT WINE CO BIRKDALE,16915 BIRKDALE COMMONS PY,Charlotte,NC,,FOXCROFT WINE BIRKDALE,,other,
FOXCROFT WINE CO WAVERLY,7416 WAVERLY WALK AV,Charlotte,NC,,FOXCROFT WINE WAVERLY,,other,
FRANKIES OF CHARLOTTE,10621 BRYTON CORPORATE CENTER DR,Charlotte,NC,,FRANKIES OF CHARLOTTE,,other,
FRENCH QUARTER,321 S CHURCH ST,Charlotte,NC,,FRENCH QUARTER,,other,
FRESH CHEF,20601 TORRENCE CHAPEL RD,Charlotte,NC,,FRESH CHEF,,other,
FRESH CHEF 2,14007 NORTH CREEK VILLAGE DR,Charlotte,NC,,FRESH CHEF,,other,
FRESHLY FAST,100 N TRYON ST,Charlotte,NC,,FRESHLY FAST,,other,
FRESHWATERS FINE SOUTHERN & NEW ORLEANS CUISINE,516 N GRAHAM ST,Charlotte,NC,,FRESHWATERS FINE SOUTHERN & NEW ORLEANS CUISINE,,other,
FRIENDSHIP MISSIONARY BAPTIST CHURCH,3400 BEATTIES FORD RD,Charlotte,NC,,FRIENDSHIP MISSIONARY BAPTIST CHURCH,,other,
FU SHING,8134 MT HOLLY-HUNTERSVILLE RD,Charlotte,NC,,FU SHING,,other,
FUMEE,9539 PINNACLE DR,Charlotte,NC,,FUMEE,,other,
FUSION 108,10010 ROSE COMMONS DR,Charlotte,NC,,FUSION,,other,
FUSION BOWL CORNELIUS,19905 WEST CATAWBA AV,Charlotte,NC,,FUSION BOWL CORNELIUS,,other,
"GIN MILL, THE",1423 S TRYON ST,Charlotte,NC,,GIN MILL,,other,
GINBU 401,401 PROVIDENCE RD,Charlotte,NC,,GINBU,,other,
GO GO EMPANADAS,11229 E INDEPENDENCE BV,Charlotte,NC,,GO GO EMPANADAS,,other,
GODAVARI,2130 E ARBORS DR,Charlotte,NC,,GODAVARI,,other,
"GOLD CLUB, THE",5624 OLD PINEVILLE RD,Charlotte,NC,,GOLD CLUB,,other,
"GOLDEN COAST II, THE",3020 PROSPERITY CHURCH RD,Charlotte,NC,,GOLDEN COAST II,,other,
GOLDEN CORRAL,11025 E INDEPENDENCE BV,Charlotte,NC,,GOLDEN CORRAL,,other,
GOLDEN GATE EXPRESS,5708 N SHARON AMITY RD,Charlotte,NC,,GOLDEN GATE EXPRESS,,other,
GOLDEN TAIPEI,8511 DAVIS LAKE PY,Charlotte,NC,,GOLDEN TAIPEI,,other,
GOLDIES,3601 SOUTH BV,Charlotte,NC,,GOLDIES,,other,
GOOD FOOD,1701 MONTFORD DR,Charlotte,NC,,GOOD FOOD,,other,
GOOD FOOD EATERY BY FOOD GEEKS,5301 WILKINSON BV,Charlotte,NC,,GOOD FOOD EATERY BY FOOD GEEKS,,other,
"GOODYEAR HOUSE, THE",3032 N DAVIDSON ST,Charlotte,NC,,GOODYEAR HOUSE,,other,
GOURMAND,4425 SHARON RD,Charlotte,NC,,GOURMAND,,other,
GREAT AMERICAN BAGEL,5501 JOSH BIRMINGHAM PY,Charlotte,NC,,GREAT AMERICAN BAGEL,,other,
GREAT HARVEST BREAD CO MATTHEWS,110 MATTHEWS STATION ST,Charlotte,NC,,GREAT HARVEST BREAD MATTHEWS,,other,
GREAT HARVEST MALLARD CREEK,1824 EAST ARBORS DR,Charlotte,NC,,GREAT HARVEST MALLARD CREEK,,other,
GREAT WALL OF CHINA SOUTH,6666 CARMEL RD,Charlotte,NC,,GREAT WALL OF CHINA SOUTH,,other,
GREEN BROTHERS JUICE & SMOOTHIES CO SOUTHPARK,7802 FAIRVIEW RD,Charlotte,NC,,GREEN BROTHERS JUICE & SMOOTHIES SOUTHPARK,,other,
GREEN BROTHERS JUICE CO,2230 PARK RD,Charlotte,NC,,GREEN BROTHERS JUICE,,other,
GREEN BROTHERS JUICE COMPANY,16815 CRANLYN RD,Charlotte,NC,,GREEN BROTHERS JUICE COMPANY,,other,
GREEN BROTHERS PIPER GLEN,6432 REA RD,Charlotte,NC,,GREEN BROTHERS PIPER GLEN,,other,
GREEN BROTHERS SE,2725 SOUTH BV,Charlotte,NC,,GREEN BROTHERS SE,,other,
GUATE LINDA,6016 THE PLAZA,Charlotte,NC,,GUATE LINDA,,other,
GYU-KAKU,650 E BROOKLYN VILLAGE AV,Charlotte,NC,,GYU-KAKU,,other,
HABERDISH,3106 N DAVIDSON ST,Charlotte,NC,,HABERDISH,,other,
HABIBI LEBANON,408 S MAIN ST,Charlotte,NC,,HABIBI LEBANON,,other,
HALAL STREET FOOD,4044 CONNECTION POINT BV,Charlotte,NC,,HALAL STREET FOOD,,other,
HALAL STREET FOOD 002,701 KESWICK AV,Charlotte,NC,,HALAL STREET FOOD,,other,
HALFPENNY`S CONFECTIONS & CREAMERY,301 S TRYON ST,Charlotte,NC,,HALFPENNY S CONFECTIONS & CREAMERY,,other,
HAMPTON INN & SUITES,10305 WILMINGTON ST,Charlotte,NC,,HAMPTON INN & SUITES,,other,
HAMPTON INN & SUITES,401 TOWNE CENTRE BV,Charlotte,NC,,HAMPTON INN & SUITES,,other,
HAMPTON INN & SUITES,6220 CADEN RD,Charlotte,NC,,HAMPTON INN & SUITES,,other,
HAMPTON INN & SUITES,6700 PHILLIPS PLACE CT,Charlotte,NC,,HAMPTON INN & SUITES,,other,
HAMPTON INN & SUITES CHARLOTTE AIRPORT,2227 CASCADE POINTE BV,Charlotte,NC,,HAMPTON INN & SUITES CHARLOTTE AIRPORT,,other,
HAMPTON INN & SUITES CHARLOTTE AIRPORT,2731 LITTLE ROCK RD,Charlotte,NC,,HAMPTON INN & SUITES CHARLOTTE AIRPORT,,other,
HAMPTON INN & SUITES CHARLOTTE ARROWOOD,9110 SOUTHERN PINE BV,Charlotte,NC,,HAMPTON INN & SUITES CHARLOTTE ARROWOOD,,other,
HAMPTON INN & SUITES NORTHLAKE,7911 W W T HARRIS BV,Charlotte,NC,,HAMPTON INN & SUITES NORTHLAKE,,other,
HAMPTON INN BREAKFAST,9615 INDEPENDENCE POINTE PY,Charlotte,NC,,HAMPTON INN BREAKFAST,,other,
HAMPTON INN CHARLOTTE UPTOWN,530 E MARTIN LUTHER KING JR BV,Charlotte,NC,,HAMPTON INN CHARLOTTE UPTOWN,,other,
HAMPTON INN LAKE NORMAN,19501 STATESVILLE RD,Charlotte,NC,,HAMPTON INN LAKE NORMAN,,other,
HANGRY JOE'S #306,1339 W SUGAR CREEK RD,Charlotte,NC,,HANGRY JOE S,,other,
HARDEES #1501623,4201 E W T HARRIS BV,Charlotte,NC,,HARDEES,,other,
HARDEES #1501638,14101 STATESVILLE RD,Charlotte,NC,,HARDEES,,other,
HARRIS FOOD MART,8400 OLD STATESVILLE RD,Charlotte,NC,,HARRIS FOOD MART,,other,
HARRY L JONES SR GOLF COURSE,1525 W TYVOLA RD,Charlotte,NC,,HARRY L JONES SR GOLF COURSE,,other,
HARVEY`S,13812 CINNABAR PL,Charlotte,NC,,HARVEY S,,other,
"HAWK NEST CULINARY ARTS DEPT, THE",7400 TUCKASEEGEE RD,Charlotte,NC,,HAWK NEST CULINARY ARTS DEPT,,other,
HAZELNUTS CREPERIE,9830 REA RD,Charlotte,NC,,HAZELNUTS CREPERIE,,other,
HEFS @ CROWN POINT,2518 SARDIS RD N,Charlotte,NC,,HEFS CROWN POINT,,other,
HELLENIC,1436 SOUTH BV,Charlotte,NC,,HELLENIC,,other,
HELLO SAILOR,20210 HENDERSON RD,Charlotte,NC,,HELLO SAILOR,,other,
HESTIA,14819 BALLANTYNE VILLAGE WY,Charlotte,NC,,HESTIA,,other,
HIGH FIVE PLAYHOUSE,10101 E INDEPENDENCE BV,Charlotte,NC,,HIGH FIVE PLAYHOUSE,,other,
HIGHLAND CREEK GOLF CLUB,7101 HIGHLAND CREEK PY,Charlotte,NC,,HIGHLAND CREEK GOLF CLUB,,other,
HILLSIDE CARIBBEAN,1113 PEGRAM ST,Charlotte,NC,,HILLSIDE CARIBBEAN,,other,
HILTON CHARLOTTE AIRPORT,2800 COLISEUM CENTRE DR,Charlotte,NC,,HILTON CHARLOTTE AIRPORT,,other,
HILTON GARDEN INN,1920 AYRSLEY TOWN BV,Charlotte,NC,,HILTON GARDEN INN,,other,
HILTON GARDEN INN CHARLOTTE AIRPORT,2400 CASCADE POINTE BV,Charlotte,NC,,HILTON GARDEN INN CHARLOTTE AIRPORT,,other,
HILTON GARDEN INN CHARLOTTE UPTOWN,508 E MARTIN LUTHER KING JR BV,Charlotte,NC,,HILTON GARDEN INN CHARLOTTE UPTOWN,,other,
HILTON GARDEN INN WAVERLY,7415 WAVERLY WALK AV,Charlotte,NC,,HILTON GARDEN INN WAVERLY,,other,
HINDU CENTER OF CHARLOTTE,7400 CITY VIEW DR,Charlotte,NC,,HINDU CENTER OF CHARLOTTE,,other,
HINSONS DRIVE IN,2761 CPCC LN,Charlotte,NC,,HINSONS DRIVE IN,,other,
HO HO CHERRY HOUSE,2001 E 7TH ST,Charlotte,NC,,HO HO CHERRY HOUSE,,other,
HOLIDAY INN EXPRESS,1617 S TRYON ST,Charlotte,NC,,HOLIDAY INN EXPRESS,,other,
HOLIDAY INN EXPRESS & SUITES,108 AIRPORT COMMONS DR,Charlotte,NC,,HOLIDAY INN EXPRESS & SUITES,,other,
HOLIDAY INN EXPRESS & SUITES,15139 BALLANCROFT PY,Charlotte,NC,,HOLIDAY INN EXPRESS & SUITES,,other,
HOLIDAY INN EXPRESS & SUITES,7808 SAVOY CORPORATE DR,Charlotte,NC,,HOLIDAY INN EXPRESS & SUITES,,other,
HOLIDAY INN EXPRESS & SUITES CHARLOTTE NORTH,7230 SMITH CORNERS BV,Charlotte,NC,,HOLIDAY INN EXPRESS & SUITES CHARLOTTE NORTH,,other,
HOLIDAY INN EXPRESS - MATTHEWS,9420 E INDEPENDENCE BV,Charlotte,NC,,HOLIDAY INN EXPRESS - MATTHEWS,,other,
HOLIDAY INN EXPRESS UNIVERSITY,6020 UNIVERSITY POINTE BV,Charlotte,NC,,HOLIDAY INN EXPRESS UNIVERSITY,,other,
HOLY JOES MEATS & MORE/NAWABS KEBABS,10210 BERKELEY PLACE DR,Charlotte,NC,,HOLY JOES MEATS & MORE/NAWABS KEBABS,,other,
HOME 2 SUITES BY HILTON CHARLOTTE AIRPORT,4240 SCOTT FUTRELL DR,Charlotte,NC,,HOME SUITES BY HILTON CHARLOTTE AIRPORT,,other,
HOME 2 SUITES BY HILTON NORTHLAKE,7227 SMITH CORNERS BV,Charlotte,NC,,HOME SUITES BY HILTON NORTHLAKE,,other,
HOME 2 SUITES BY HILTON PIPER GLEN,5110 PIPER STATION DR,Charlotte,NC,,HOME SUITES BY HILTON PIPER GLEN,,other,
HOME 2 SUITES CHARLOTTE,6025 TYVOLA GLEN CR,Charlotte,NC,,HOME SUITES CHARLOTTE,,other,
HOME 2 SUITES CHARLOTTE UPTOWN,610 S CALDWELL ST,Charlotte,NC,,HOME SUITES CHARLOTTE UPTOWN,,other,
HOMESTYLE KITCHN,314 N COLLEGE ST,Charlotte,NC,,HOMESTYLE KITCHN,,other,
HOMEWOOD SUITES,12030 COPPER WY,Charlotte,NC,,HOMEWOOD SUITES,,other,
HOMEWOOD SUITES BY HILTON CHARLOTTE ARYSLEY,1921 AYRSLEY TOWN BV,Charlotte,NC,,HOMEWOOD SUITES BY HILTON CHARLOTTE ARYSLEY,,other,
HOMEWOOD SUITES BY HILTON DAVIDSON,125 HARBOUR PLACE DR,Charlotte,NC,,HOMEWOOD SUITES BY HILTON DAVIDSON,,other,
HOMEWOOD SUITES CHARLOTTE UPTOWN 1ST WARD,508 N COLLEGE ST,Charlotte,NC,,HOMEWOOD SUITES CHARLOTTE UPTOWN 1ST WARD,,other,
HONEY BAKED HAM COMPANY,20609 TORRENCE CHAPEL RD,Charlotte,NC,,HONEY BAKED HAM COMPANY,,other,
HONEY BAKED HAMS #114,7649 PINEVILLE-MATTHEWS RD,Charlotte,NC,,HONEY BAKED HAMS,,other,
HONEYBAKED HAM #110,5700 UNIVERSITY POINTE BV,Charlotte,NC,,HONEYBAKED HAM,,other,
HOOK & REEL,14142 RIVERGATE PY,Charlotte,NC,,HOOK & REEL,,other,
HOOTERS OF SOUTH CHARLOTTE,9807 SOUTH BV,Charlotte,NC,,HOOTERS OF SOUTH CHARLOTTE,,other,
HOP FENG II,9229 LAWYERS RD,Charlotte,NC,,HOP FENG II,,other,
HOPE HAVEN,3815 N TRYON ST,Charlotte,NC,,HOPE HAVEN,,other,
"HORSESHOE, THE",1515 S MINT ST,Charlotte,NC,,HORSESHOE,,other,
HOUSE OF LENG,2712 W MALLARD CREEK CHURCH RD,Charlotte,NC,,HOUSE OF LENG,,other,
HOUSE OF TAIPEI,16500 NORTHCROSS DR,Charlotte,NC,,HOUSE OF TAIPEI,,other,
HUNAN EXPRESS,901 N WENDOVER RD,Charlotte,NC,,HUNAN EXPRESS,,other,
HUNGRY HOWIES #611,8334 PINEVILLE-MATTHEWS RD,Charlotte,NC,,HUNGRY HOWIES,,other,
HUNTER HOUSE & GARDENS,13811 S OLD STATESVILLE RD,Charlotte,NC,,HUNTER HOUSE & GARDENS,,other,
HYATT CENTRIC,3100 APEX DR,Charlotte,NC,,HYATT CENTRIC,,other,
